,X.1,X,AA,Segment,duration,intensity,cog,sdev,skew,kurt,Speaker,keyword,Variety,Stress
2510,2510,2510,2510,r,22.36534128,49.44666624,840.1741023,848.4758693,13.12332325,233.9339048,s22,sari,AG,Stressed
2511,2511,2511,2511,r,19.61650986,42.15115134,780.194924,1328.83542,8.444788218,90.65297224,s22,sari,AG,Stressed
27,27,27,27,l,58.38204883,38.22576244,619.2353823,675.4946632,21.16713171,546.8468628,s23,lasa,CG,Stressed
28,28,28,28,l,65.18697765,55.89049179,840.5848917,762.7785744,11.40225109,218.2204693,s23,lasa,CG,Stressed
66,66,66,66,l,59.97222136,39.8601929,673.7651316,1112.389874,14.4759939,240.9670898,s23,lisa,CG,Stressed
67,67,67,67,l,71.66377563,44.7388639,589.3673999,663.7854375,18.56735867,437.6625331,s23,lisa,CG,Stressed
106,106,106,106,l,49.82540613,49.99052938,761.125446,1049.852487,15.09537701,261.9558592,s23,lasa1,CG,Unstressed
107,107,107,107,l,57.1553443,45.28639399,581.0777411,411.6647248,25.49546452,968.467046,s23,lasa1,CG,Unstressed
146,146,146,146,l,43.12638623,40.94119215,934.5147966,1408.450817,10.24491571,125.8214777,s23,lisa1,CG,Unstressed
147,147,147,147,l,51.82284405,39.94068351,699.8652173,1330.379855,12.74464532,177.3805954,s23,lisa1,CG,Unstressed
186,186,186,186,l,45.27564112,43.59965441,633.7414861,697.889033,19.21010476,482.2329717,s23,sala,CG,Stressed
187,187,187,187,l,46.83091124,48.83168101,544.0509903,238.0286992,55.08505123,3850.646556,s23,sala,CG,Stressed
227,227,227,227,l,49.11197407,42.38176728,803.1686062,953.1519283,14.1481864,240.5905865,s23,sali,CG,Stressed
228,228,228,228,l,52.08426807,47.01030917,798.0905127,1448.416447,8.768583279,94.61345213,s23,sali,CG,Stressed
267,267,267,267,l,51.01013744,39.9913429,852.5795432,1269.85323,12.30903809,176.2771206,s23,sala1,CG,Stressed
268,268,268,268,l,50.29517055,43.47905457,1232.783107,1279.985018,9.167487881,116.4327438,s23,sala1,CG,Stressed
306,306,306,306,l,55.34943646,31.26408869,1417.239414,2792.487181,5.616302276,34.0727141,s23,sali1,CG,Stressed
307,307,307,307,l,57.21934985,40.54497662,564.9536041,470.1802626,30.56797225,1137.477147,s23,sali1,CG,Stressed
678,678,678,678,m,65.01929871,37.31866267,1025.150592,2092.304426,7.994712345,68.0788403,s23,masa,CG,Stressed
679,679,679,679,m,62.16312575,37.57146336,1064.875076,1035.983801,14.21376501,238.4528444,s23,masa,CG,Stressed
719,719,719,719,m,57.74093165,41.00047442,643.8250769,1067.532183,16.66175581,293.1547925,s23,misa,CG,Stressed
720,720,720,720,m,57.79141332,40.28805598,586.5081782,565.2133046,26.99241358,863.1291632,s23,misa,CG,Stressed
759,759,759,759,m,56.43850462,39.45420712,790.1953362,801.1049951,15.90540825,326.7462228,s23,masa1,CG,Unstressed
760,760,760,760,m,50.63311282,45.89014778,1090.32547,739.0793754,15.71125114,345.0535226,s23,masa1,CG,Unstressed
800,800,800,800,m,43.919051,36.67369272,1195.971352,1574.163848,9.193439587,101.7695797,s23,misa1,CG,Unstressed
801,801,801,801,m,52.33939319,46.56600467,1026.660397,995.5301641,11.59021795,196.3845015,s23,misa1,CG,Unstressed
839,839,839,839,m,54.5756445,40.14652561,1246.940323,766.4653638,16.67466763,351.3292333,s23,sama,CG,Stressed
840,840,840,840,m,54.56117973,36.7888918,861.9597392,1599.144554,10.49685955,119.344938,s23,sama,CG,Stressed
878,878,878,878,m,74.45711668,39.15253768,724.1137151,1257.891265,12.79793183,183.1894062,s23,sami,CG,Stressed
879,879,879,879,m,51.22022912,40.59581041,776.875707,1654.943204,10.7106729,120.7926794,s23,sami,CG,Stressed
915,915,915,915,m,66.64143988,33.43573831,1075.201813,1710.320342,9.343970116,98.29476911,s23,sama1,CG,Stressed
916,916,916,916,m,71.34269572,29.6801424,908.788849,2018.433343,8.506327083,75.82724823,s23,sama1,CG,Stressed
954,954,954,954,m,66.8329046,34.88922527,887.2153845,2180.439207,8.14765082,68.32521206,s23,sami1,CG,Stressed
955,955,955,955,m,62.74109411,34.67110008,984.178261,2746.920569,6.703665576,43.99785784,s23,sami1,CG,Stressed
1314,1314,1314,1314,n,64.77302797,42.30730285,709.8029497,880.5298546,18.25056936,384.292228,s23,nasa,CG,Stressed
1315,1315,1315,1315,n,55.51973826,39.08524599,765.5845272,1225.727916,12.68484342,186.578511,s23,nasa,CG,Stressed
1357,1357,1357,1357,n,60.60829038,43.07955766,696.6346656,1323.431498,13.36974706,189.8666953,s23,nisa,CG,Stressed
1358,1358,1358,1358,n,64.03094746,38.67855733,1212.327419,1394.82154,8.978138423,105.851564,s23,nisa,CG,Stressed
1397,1397,1397,1397,n,35.83188782,43.46151143,577.9606775,383.2688066,32.29369234,1417.969123,s23,nasa1,CG,Unstressed
1398,1398,1398,1398,n,45.72287089,40.46920889,904.9174559,894.9955906,13.20998408,254.6622689,s23,nasa1,CG,Unstressed
1438,1438,1438,1438,n,64.06123646,37.76528243,671.6765841,1351.449501,13.17005874,184.3538815,s23,nisa1,CG,Unstressed
1439,1439,1439,1439,n,51.062207,41.3644429,672.4064532,866.5050591,16.85303712,339.3249512,s23,nisa1,CG,Unstressed
1480,1480,1480,1480,n,47.60854629,43.74434948,629.8060821,721.2291752,19.77368886,483.4464674,s23,sana,CG,Stressed
1481,1481,1481,1481,n,62.17624304,41.80202544,1510.57651,2257.537293,5.920722541,41.60547084,s23,sana,CG,Stressed
1520,1520,1520,1520,n,43.20194763,38.90729846,1105.335976,1937.886267,8.534530569,79.95699554,s23,sani,CG,Stressed
1561,1561,1561,1561,n,50.92300202,29.66307009,1162.220465,1921.125623,8.176759159,74.51540831,s23,sana1,CG,Stressed
1562,1562,1562,1562,n,50.61965552,34.24463241,1103.746384,1692.986042,9.903160535,107.8321068,s23,sana1,CG,Stressed
1600,1600,1600,1600,n,67.21788677,37.15614987,1170.830051,2544.722965,6.762455309,46.5011979,s23,sani1,CG,Stressed
1601,1601,1601,1601,n,53.85350574,40.60633613,687.2813867,1420.577609,12.43424312,162.2723533,s23,sani1,CG,Stressed
1938,1938,1938,1938,r,16.80235611,37.04378717,1516.486521,1422.418231,9.894220253,118.624761,s23,rasa,CG,Stressed
1939,1939,1939,1939,r,13.40108675,35.98949922,1323.205473,1956.737204,7.017260191,56.00692118,s23,rasa,CG,Stressed
1978,1978,1978,1978,r,21.54915938,33.93469246,1132.084156,2214.783023,6.727389913,49.72421388,s23,risa,CG,Stressed
1979,1979,1979,1979,r,45.69845326,45.20430024,1272.91958,1711.092789,6.685925629,58.39934011,s23,risa,CG,Stressed
2018,2018,2018,2018,r,22.63496974,38.48513178,1741.754761,1285.7295,6.223681196,72.29648372,s23,rasa1,CG,Unstressed
2019,2019,2019,2019,r,14.55926251,38.76282145,971.4489244,621.2945255,16.64617773,464.7390215,s23,rasa1,CG,Unstressed
2058,2058,2058,2058,r,11.78129183,39.87217702,1457.495081,1750.70449,7.313384115,66.86988337,s23,risa1,CG,Unstressed
2059,2059,2059,2059,r,13.65538954,42.02179263,853.6827267,848.9413352,15.52168318,314.4732791,s23,risa1,CG,Unstressed
2095,2095,2095,2095,r,12.48133616,40.4725892,1389.827947,1340.653007,9.468498246,122.8986019,s23,sara,CG,Stressed
2096,2096,2096,2096,r,16.40603488,37.93994353,1057.486869,1034.48435,13.04533204,229.3396843,s23,sara,CG,Stressed
2136,2136,2136,2136,r,18.35280918,33.04342018,1064.869611,963.1941166,16.29144522,296.4825421,s23,sari,CG,Stressed
2137,2137,2137,2137,r,22.5324564,34.73479791,952.0544033,1342.754112,11.56465257,151.6445298,s23,sari,CG,Stressed
2174,2174,2174,2174,r,15.74039506,40.6711516,803.5016932,732.7413483,18.0216303,391.2374208,s23,sara1,CG,Stressed
2175,2175,2175,2175,r,18.21515635,42.15018021,948.9084225,1130.959988,12.79002046,201.4536987,s23,sara1,CG,Stressed
2213,2213,2213,2213,r,23.65440443,38.5339048,1737.76371,3188.063931,4.777659984,23.17688327,s23,sari1,CG,Stressed
2214,2214,2214,2214,r,19.24910847,34.20654415,2171.443115,3892.007461,3.628571907,13.37206443,s23,sari1,CG,Stressed
349,349,349,349,l,77.90456853,59.27825691,750.3190265,868.5902675,9.826561299,157.4046057,s24,lasa1,AG,Unstressed
350,350,350,350,l,117.2756946,62.52098352,550.625879,410.6323285,11.90506496,275.4704809,s24,lasa1,AG,Unstressed
389,389,389,389,l,80.70419507,65.56562026,574.370873,347.3078507,25.78015839,1097.902838,s24,lasa,AG,Stressed
390,390,390,390,l,94.13468697,65.99580488,627.3148483,611.5022119,17.56338485,434.2457679,s24,lasa,AG,Stressed
428,428,428,428,l,71.58887558,51.38869182,745.9962746,862.832848,7.057595352,92.05941226,s24,lisa1,AG,Unstressed
429,429,429,429,l,80.9025938,50.2528507,1285.274674,1268.198167,2.594578194,17.16943011,s24,lisa1,AG,Unstressed
468,468,468,468,l,85.06345609,52.36514584,1179.579184,1329.312302,3.068359154,16.65259177,s24,lisa,AG,Stressed
469,469,469,469,l,103.1673403,53.65414856,770.7684936,817.4014648,10.30055953,172.8375298,s24,lisa,AG,Stressed
510,510,510,510,l,92.01456196,64.96394158,544.6075104,457.7520309,24.30129578,820.192261,s24,sala1,AG,Stressed
511,511,511,511,l,85.30993334,60.84154079,462.8859044,238.3462533,20.49988451,774.5768112,s24,sala1,AG,Stressed
550,550,550,550,l,66.71138638,60.72858261,541.8733373,454.4017792,23.9446361,796.1873323,s24,sala,AG,Stressed
551,551,551,551,l,61.13745922,62.49299984,601.7790138,666.7351296,17.76715705,412.5752644,s24,sala,AG,Stressed
588,588,588,588,l,97.45917136,55.72626931,512.3796131,599.7803696,19.66178296,497.2564931,s24,sali1,AG,Stressed
589,589,589,589,l,101.6636566,59.28741814,546.7390048,462.2586755,16.36731625,438.6713323,s24,sali1,AG,Stressed
627,627,627,627,l,82.59094448,54.96795561,586.3883751,638.0894074,18.8492344,453.1375914,s24,sali,AG,Stressed
628,628,628,628,l,82.56441776,56.58900769,654.0813876,830.7174791,11.98878269,199.8305639,s24,sali,AG,Stressed
994,994,994,994,m,61.26724614,54.67791153,763.3899694,589.1592774,14.81756896,365.7985982,s24,masa1,AG,Unstressed
995,995,995,995,m,82.42025705,56.93784606,669.9078976,385.930597,16.00665934,576.537814,s24,masa1,AG,Unstressed
1034,1034,1034,1034,m,70.17889093,55.74722532,721.0227341,330.3434597,15.32699682,586.1056703,s24,masa,AG,Stressed
1035,1035,1035,1035,m,61.10023075,57.26226367,1218.054138,513.3779714,11.39442875,216.7898526,s24,masa,AG,Stressed
1074,1074,1074,1074,m,86.76637853,57.99862297,489.1942166,255.7898082,34.01456253,1827.553767,s24,misa1,AG,Unstressed
1075,1075,1075,1075,m,74.06885972,56.43812804,706.4397698,946.87076,11.92036169,186.9229467,s24,misa1,AG,Unstressed
1114,1114,1114,1114,m,75.80484862,56.49177767,703.9971054,457.8596974,10.8274384,223.5815727,s24,misa,AG,Stressed
1115,1115,1115,1115,m,48.82813223,57.13237443,531.8720275,285.5053501,30.13536072,1504.327052,s24,misa,AG,Stressed
1155,1155,1155,1155,m,85.30993334,55.21662386,785.910719,405.449675,14.02248858,443.9218398,s24,sama1,AG,Stressed
1156,1156,1156,1156,m,98.40750162,57.88194713,646.7933872,609.7776588,15.49901401,370.2181942,s24,sama1,AG,Stressed
1195,1195,1195,1195,m,65.27562763,56.26158358,725.8680469,632.8077341,13.27380037,294.8279017,s24,sama,AG,Stressed
1196,1196,1196,1196,m,71.23419224,56.94963273,690.8797921,567.076027,15.582243,378.92,s24,sama,AG,Stressed
1234,1234,1234,1234,m,74.14549982,58.13540246,535.3466081,558.2991524,17.15152945,398.9616152,s24,sami1,AG,Stressed
