,X.1,X,AA,Segment,duration,intensity,cog,sdev,skew,kurt,Speaker,keyword,Variety,Stress
321,321,321,321,l,82.46068094,52.51855755,562.5207838,611.1170936,15.48622788,353.6004053,S1,lasa1,AG,Unstressed
322,322,322,322,l,96.73462932,51.74915993,598.1708326,786.6969895,15.36891909,301.0864213,S1,lasa1,AG,Unstressed
361,361,361,361,l,95.1321917,52.6823343,562.454679,324.6107973,23.34790899,964.7290291,S1,lasa,AG,Stressed
362,362,362,362,l,102.7484986,53.21910369,466.379452,352.4744614,23.01526368,897.6216765,S1,lasa,AG,Stressed
401,401,401,401,l,84.51785957,47.50498133,646.2356149,671.6253801,8.454365902,140.1677751,S1,lisa1,AG,Unstressed
402,402,402,402,l,97.54604294,47.75720287,574.0649996,755.1906488,17.06559004,353.4433113,S1,lisa1,AG,Unstressed
440,440,440,440,l,94.61415057,53.46834685,476.1476621,240.7045665,11.25858852,259.2468018,S1,lisa,AG,Stressed
441,441,441,441,l,67.45556867,52.38429216,800.2056094,975.4239792,7.041578375,85.79083441,S1,lisa,AG,Stressed
480,480,480,480,l,81.17229911,45.01954049,534.8784136,781.6242037,15.31812606,304.2050416,S1,masa1,AG,Unstressed
481,481,481,481,l,73.67316183,44.49589268,650.1119281,1013.477035,12.45361338,189.4120704,S1,masa1,AG,Unstressed
482,482,482,482,l,83.32575758,53.99381035,627.4390219,546.5946302,17.9657045,468.3204371,S1,sala1,AG,Stressed
483,483,483,483,l,89.07672766,54.38043781,516.1052984,430.2343288,15.13840709,431.9843696,S1,sala1,AG,Stressed
522,522,522,522,l,75.08388256,52.81390921,555.4266282,697.4928279,17.63197238,392.7999032,S1,sala,AG,Stressed
523,523,523,523,l,90.42295873,51.63257912,484.4780522,274.3650341,34.85862415,1782.741053,S1,sala,AG,Stressed
561,561,561,561,l,90.11126976,51.19663142,633.6959957,550.6943248,14.07775319,344.5173402,S1,sali1,AG,Stressed
562,562,562,562,l,79.70196806,46.9861004,606.6803449,475.6144836,11.17367672,257.1963127,S1,sali1,AG,Stressed
600,600,600,600,l,71.76576426,51.27599647,533.4534403,352.6744442,15.54303922,487.7240603,S1,sali,AG,Stressed
601,601,601,601,l,70.57434006,51.10201386,550.9467292,402.423194,28.69380207,1094.224151,S1,sali,AG,Stressed
639,639,639,639,n,50.73235308,49.19875015,539.8157217,620.9133584,20.6205958,521.4107636,S1,sana,AG,Stressed
640,640,640,640,n,73.83712669,51.14800882,506.349507,372.1841023,23.95331859,940.6170733,S1,sana,AG,Stressed
1006,1006,1006,1006,m,114.6744667,48.73607756,521.7657804,477.3191046,20.76333587,643.4725327,S1,masa,AG,Stressed
1007,1007,1007,1007,m,88.79445445,50.67149246,427.0415038,332.6185224,36.57977895,1734.97455,S1,masa,AG,Stressed
1046,1046,1046,1046,m,79.93264445,47.30974517,452.7504539,528.6766455,23.6936254,702.4048264,S1,misa1,AG,Unstressed
1047,1047,1047,1047,m,101.4809511,49.41450574,564.8992212,537.8580649,15.54901491,336.9543687,S1,misa1,AG,Unstressed
1086,1086,1086,1086,m,92.9167392,50.92644823,425.7732558,279.3855808,36.62815796,1964.24447,S1,misa,AG,Stressed
1087,1087,1087,1087,m,106.1653656,46.58578541,513.4790184,244.9128429,33.18525894,1890.35377,S1,misa,AG,Stressed
1126,1126,1126,1126,m,69.90799744,43.58221712,665.9882455,705.5178563,17.09362124,370.7353465,S1,nasa1,AG,Unstressed
1127,1127,1127,1127,m,75.60115361,46.41957205,567.7377703,528.7296889,20.38577889,590.4381963,S1,sama1,AG,Stressed
1128,1128,1128,1128,m,76.27758498,50.09895357,471.1195823,374.4547651,24.89303605,1008.331316,S1,sama1,AG,Stressed
1167,1167,1167,1167,m,60.00344192,46.32644441,660.5722918,636.3219098,18.53389668,449.9630781,S1,sama,AG,Stressed
1168,1168,1168,1168,m,53.80282099,39.3647356,906.7299773,793.9809257,10.48597551,187.8749872,S1,sama,AG,Stressed
1207,1207,1207,1207,m,77.86918822,47.99468254,528.5531119,510.0513778,22.84494197,692.7125725,S1,sami1,AG,Stressed
1208,1208,1208,1208,m,72.42457882,47.02942499,532.136351,418.777782,28.35556673,1048.746769,S1,sami1,AG,Stressed
1246,1246,1246,1246,m,49.39275369,52.0130534,596.0595724,691.7111981,16.53374633,368.8079076,S1,sami,AG,Stressed
1247,1247,1247,1247,m,61.54199171,47.81377221,508.6453519,413.9511547,29.23466352,1100.957412,S1,sami,AG,Stressed
1286,1286,1286,1286,n,75.08388256,49.54853442,545.4075487,479.165197,21.62244576,685.8664836,S1,sana1,AG,Stressed
1287,1287,1287,1287,n,68.47209746,51.74047351,506.776139,601.3695297,20.37191415,526.5404892,S1,sana1,AG,Stressed
1613,1613,1613,1613,n,73.04379961,49.40598586,570.4115569,677.0611051,18.37277735,420.8769648,S1,nasa1,AG,Unstressed
1652,1652,1652,1652,n,75.88751476,49.4396711,438.7361537,256.6601199,37.74201001,2234.296304,S1,nasa,AG,Stressed
1653,1653,1653,1653,n,79.93264445,53.5816982,526.3967342,680.8359763,17.61025635,399.0401521,S1,nasa,AG,Stressed
1692,1692,1692,1692,n,69.90799744,46.59500097,547.0754959,345.4644493,34.3083713,1519.472031,S1,nisa1,AG,Unstressed
1693,1693,1693,1693,n,93.29700344,47.85422154,624.2134557,848.537436,14.9388496,270.6021345,S1,nisa1,AG,Unstressed
1732,1732,1732,1732,n,98.86870115,52.86058408,427.9571264,336.1270891,35.0169841,1621.563368,S1,nisa,AG,Stressed
1733,1733,1733,1733,n,91.71532466,49.71863244,549.0417679,418.5118314,30.07611499,1097.696656,S1,nisa,AG,Stressed
1836,1836,1836,1836,n,88.40029628,48.44376476,609.0778412,892.9186491,13.22399124,221.8665399,S1,sani1,AG,Stressed
1837,1837,1837,1837,n,76.73645665,46.37020557,617.6532422,546.7660936,19.9469867,534.7051324,S1,sani1,AG,Stressed
1875,1875,1875,1875,n,58.72138476,53.62779006,540.1830782,175.3781541,62.92810894,5462.436898,S1,sani,AG,Stressed
1876,1876,1876,1876,n,69.63264148,48.7760049,552.327779,629.7657728,19.35222969,471.9201633,S1,sani,AG,Stressed
2226,2226,2226,2226,r,23.22367373,40.7041038,1724.174645,1896.791396,4.099812866,24.16369009,S1,rasa1,AG,Unstressed
2227,2227,2227,2227,r,19.5753415,35.1677762,1050.909736,1137.690684,9.988955408,128.3529187,S1,rasa1,AG,Unstressed
2266,2266,2266,2266,r,25.97273871,43.30927784,1055.175956,947.459889,6.528541175,73.34050967,S1,rasa,AG,Stressed
2267,2267,2267,2267,r,16.96431748,42.43106625,1157.276828,1579.875125,7.077934364,61.72831758,S1,rasa,AG,Stressed
2305,2305,2305,2305,r,28.56941732,32.17480491,1001.717987,1228.92785,9.873543851,120.2282722,S1,risa1,AG,Unstressed
2306,2306,2306,2306,r,24.63450915,42.06020093,1431.976076,1054.776867,3.576005074,36.42438358,S1,risa1,AG,Unstressed
2343,2343,2343,2343,r,33.90964984,44.47126798,1336.489489,1773.344234,5.821932465,46.80666745,S1,risa,AG,Stressed
2344,2344,2344,2344,r,12.81143827,41.37718292,1272.872197,1674.739504,4.607479515,27.68559791,S1,risa,AG,Stressed
2383,2383,2383,2383,r,17.86906214,35.96481219,874.0361342,1116.398143,10.14458269,135.171349,S1,sara1,AG,Stressed
2384,2384,2384,2384,r,20.4719966,42.15840497,1307.202562,1686.072634,4.368839447,23.80476023,S1,sara1,AG,Stressed
2423,2423,2423,2423,r,23.56494633,50.60038735,994.5052061,909.431134,10.83950041,166.4521318,S1,sara,AG,Stressed
2424,2424,2424,2424,r,19.89504042,40.07394155,736.3201017,665.9579618,15.55528735,346.0977857,S1,sara,AG,Stressed
2463,2463,2463,2463,r,25.69776055,44.75046284,1422.124538,1512.15457,4.230550266,23.76814324,S1,sari1,AG,Stressed
2464,2464,2464,2464,r,22.39518384,41.83582494,1285.935937,1549.984928,7.357109893,67.6801024,S1,sari1,AG,Stressed
2502,2502,2502,2502,r,18.01313201,45.56731581,966.6298334,1322.882333,9.421692924,109.176738,S1,sari,AG,Stressed
2503,2503,2503,2503,r,13.57836509,44.89828524,1018.512839,1206.927927,9.509793565,115.8710239,S1,sari,AG,Stressed
1,1,1,1,l,119.8905956,43.38597507,611.9502677,629.1085301,17.20129807,396.4273055,S2,lasa,CG,Stressed
2,2,2,2,l,90.63983456,53.41366756,811.575781,758.0280182,9.37719156,139.2750499,S2,lasa,CG,Stressed
41,41,41,41,l,133.6805045,44.53478013,793.7762825,1137.786345,11.01120432,148.956301,S2,lisa,CG,Stressed
42,42,42,42,l,117.6121897,47.32845037,698.6851877,644.57824,13.50412323,287.8246582,S2,lisa,CG,Stressed
80,80,80,80,l,67.60504954,58.67649111,706.0932198,454.9597408,16.26163622,413.7895895,S2,lasa1,CG,Unstressed
81,81,81,81,l,64.18246114,52.53323853,831.50741,760.1785369,12.23312706,210.2713509,S2,lasa1,CG,Unstressed
121,121,121,121,l,99.22676626,47.68554724,608.942398,660.7722788,16.53206438,348.4948845,S2,lisa1,CG,Unstressed
122,122,122,122,l,75.26816671,49.61636146,738.3583062,787.7978323,15.19880428,295.1994577,S2,lisa1,CG,Unstressed
160,160,160,160,l,63.48456693,52.24952893,883.6002881,785.0770072,11.74254177,203.3527651,S2,rasa1,CG,Unstressed
161,161,161,161,l,71.89942218,56.38510722,718.641588,549.8116043,6.636240763,72.90329423,S2,sala,CG,Stressed
162,162,162,162,l,66.98029961,54.45160981,1037.526499,811.5599636,7.930471662,120.6270535,S2,sala,CG,Stressed
200,200,200,200,l,78.36257275,52.8170333,830.7950607,886.4647508,8.4782101,124.8830886,S2,sali,CG,Stressed
201,201,201,201,l,87.67473787,50.09281497,906.2668212,1097.056323,7.36903918,89.62579625,S2,sali,CG,Stressed
240,240,240,240,l,70.15996296,44.99138961,751.2141565,550.5693248,17.44927755,489.7843046,S2,sama,CG,Stressed
241,241,241,241,l,76.88643896,52.2192734,863.8732724,1097.221556,7.474436518,83.86092254,S2,sala1,CG,Stressed
242,242,242,242,l,70.83671916,50.65597228,919.5376693,856.3569495,9.600453424,144.5190394,S2,sala1,CG,Stressed
280,280,280,280,l,98.23645012,53.22978842,631.7976324,663.8193525,15.62313356,344.7990476,S2,sali1,CG,Stressed
281,281,281,281,l,86.9803422,53.51994718,1599.247436,2013.593118,4.029598228,22.41562634,S2,sali1,CG,Stressed
319,319,319,319,l,80.40627594,41.68325662,671.1904479,590.5587137,19.03410836,474.6502627,S2,sama1,CG,Stressed
320,320,320,320,l,53.87327864,41.75175733,667.485662,502.0370562,23.08671275,687.1696775,S2,sama1,CG,Stressed
651,651,651,651,m,97.31855921,42.59382669,802.5400523,1807.427915,7.574865964,65.23784717,S2,masa,CG,Stressed
652,652,652,652,m,101.7104643,43.49901336,848.8136838,620.4496943,18.23875649,427.6001692,S2,masa,CG,Stressed
692,692,692,692,m,103.063373,46.78018038,658.3941304,845.543325,16.38842238,311.5184812,S2,misa,CG,Stressed
693,693,693,693,m,105.7843349,47.48023691,627.7871458,790.4333573,16.44481389,325.7627581,S2,misa,CG,Stressed
733,733,733,733,m,69.26084824,43.06795481,810.5911917,839.7908812,12.85601295,214.0964215,S2,masa1,CG,Unstressed
734,734,734,734,m,83.56230474,42.82067815,851.8969912,1197.541851,10.91430653,144.786002,S2,masa1,CG,Unstressed
774,774,774,774,m,58.98782884,46.04476451,682.1613152,503.6305113,23.92719475,725.5208009,S2,misa1,CG,Unstressed
775,775,775,775,m,79.88219115,47.7025389,620.0389456,332.0360105,39.30468291,1914.431906,S2,misa1,CG,Unstressed
814,814,814,814,m,70.72347298,45.98068258,977.519736,1021.227582,11.14410918,154.602735,S2,sama,CG,Stressed
853,853,853,853,m,60.09102903,46.36739442,1025.569949,909.6031943,12.60260636,212.9135182,S2,sami,CG,Stressed
854,854,854,854,m,91.06970561,46.10918,774.4307876,1081.194476,11.68337448,170.8524522,S2,sami,CG,Stressed
928,928,928,928,m,81.98077444,44.59751904,781.1230679,958.7799329,11.66390447,187.5385241,S2,sami1,CG,Stressed
929,929,929,929,m,72.5306407,46.40231749,622.9489388,495.1861423,29.82551231,1058.744251,S2,sami1,CG,Stressed
1288,1288,1288,1288,n,91.26075908,37.30179564,884.2761498,1445.040425,8.258414769,86.70290063,S2,nasa,CG,Stressed
1289,1289,1289,1289,n,87.75733133,46.38930599,853.632907,1345.241547,9.400496455,106.9379737,S2,nasa,CG,Stressed
1330,1330,1330,1330,n,119.6415527,46.3708477,643.4155013,523.0078986,25.01303036,720.4078629,S2,nisa,CG,Stressed
1331,1331,1331,1331,n,120.9035944,48.38575136,615.9327808,378.5681674,36.19928911,1529.237641,S2,nisa,CG,Stressed
1371,1371,1371,1371,n,64.6468238,43.82821894,566.4834412,322.6492538,35.11471031,1591.652343,S2,nasa1,CG,Unstressed
1372,1372,1372,1372,n,55.64089427,44.66647796,1269.288858,876.6978295,12.10521191,231.0757283,S2,nasa1,CG,Unstressed
1412,1412,1412,1412,n,69.75052042,49.91969838,709.6730507,604.2886306,18.65667237,477.6020962,S2,nisa1,CG,Unstressed
1413,1413,1413,1413,n,77.76700927,48.76308344,730.5892253,912.6773362,14.08708885,239.9200713,S2,nisa1,CG,Unstressed
1453,1453,1453,1453,n,79.66560076,47.92292822,920.4005878,1240.257032,7.792298088,71.61176702,S2,rasa,CG,Stressed
1454,1454,1454,1454,n,60.63249344,47.61424078,643.2122343,338.6899187,24.9145085,1106.57788,S2,sana,CG,Stressed
1455,1455,1455,1455,n,68.93878791,45.37753708,1685.421789,979.330777,11.23725171,156.2266505,S2,sana,CG,Stressed
1494,1494,1494,1494,n,46.50833669,47.32983677,961.5851542,956.9878054,11.19797718,177.3250086,S2,sani,CG,Stressed
1495,1495,1495,1495,n,77.57917743,46.41176523,792.6823934,939.6429353,12.97920768,196.5993475,S2,sani,CG,Stressed
1532,1532,1532,1532,n,19.07934377,44.28471971,1051.249194,1353.667943,7.813554411,83.6790733,S2,sara,CG,Stressed
1533,1533,1533,1533,n,17.45789797,38.75051252,1071.752797,2032.896983,7.208408352,58.81673152,S2,sara,CG,Stressed
1535,1535,1535,1535,n,65.63396013,41.82257515,1248.5334,1384.498508,6.194147727,67.21802369,S2,sana1,CG,Stressed
1536,1536,1536,1536,n,73.03111752,40.71876307,1301.987922,1266.267655,8.807751353,99.19767888,S2,sana1,CG,Stressed
1575,1575,1575,1575,n,72.46599064,44.86442045,867.7308347,959.2720753,12.748815,208.7580897,S2,sani1,CG,Stressed
1576,1576,1576,1576,n,74.73053881,45.27049247,901.9612272,1100.099321,11.74356275,177.240015,S2,sani1,CG,Stressed
1914,1914,1914,1914,r,53.03604021,36.21416059,1382.478168,1893.850556,6.321495002,49.65146288,S2,rasa,CG,Stressed
1952,1952,1952,1952,r,26.43712172,33.44404066,950.8232984,775.5308566,13.58954234,253.1812084,S2,risa,CG,Stressed
1953,1953,1953,1953,r,122.932616,NA,977.7424415,1285.867857,8.689781417,85.43748264,S2,risa,CG,Stressed
1992,1992,1992,1992,r,18.99998712,45.83119378,1349.275584,2061.662084,5.547309115,38.02337983,S2,rasa1,CG,Unstressed
1993,1993,1993,1993,r,17.77969065,41.37713482,1232.812022,1505.563121,8.666802761,95.92556822,S2,rasa1,CG,Unstressed
2033,2033,2033,2033,r,22.34445192,48.20181595,895.9368207,849.5843899,11.98615462,171.4318768,S2,risa1,CG,Unstressed
2034,2034,2034,2034,r,21.93409549,42.99125002,1000.072835,1157.36203,9.634836482,115.3910874,S2,risa1,CG,Unstressed
2109,2109,2109,2109,r,21.30582009,44.26921678,1177.741095,1372.707567,6.108430319,64.67027644,S2,sari,CG,Stressed
2110,2110,2110,2110,r,21.66349664,41.62455831,1330.272618,2120.132436,5.15187695,29.01253532,S2,sari,CG,Stressed
2149,2149,2149,2149,r,27.3062353,52.02848072,1344.630873,1299.059139,6.918487198,69.87666514,S2,sara1,CG,Stressed
2150,2150,2150,2150,r,25.59581452,43.75139073,1123.744291,912.7786289,14.10878095,245.9554953,S2,sara1,CG,Stressed
2187,2187,2187,2187,r,33.21595478,40.53703179,1146.343042,1047.581774,10.91507577,155.4851982,S2,sari1,CG,Stressed
2188,2188,2188,2188,r,32.27250528,41.28489468,1154.716803,1415.627496,7.517706172,66.13034114,S2,sari1,CG,Stressed
3,3,3,3,l,119.8961074,55.89314807,1015.390699,880.5177806,3.30674229,19.27026459,S3,lasa,CG,Stressed
4,4,4,4,l,119.167025,56.42355935,1045.030648,1020.52672,5.588071081,54.85092734,S3,lasa,CG,Stressed
43,43,43,43,l,127.5065966,54.89751997,1602.443688,1386.776819,1.393725306,5.056541064,S3,lisa,CG,Stressed
44,44,44,44,l,121.1257138,51.78606567,864.5389318,865.8170462,7.7436725,108.7693333,S3,lisa,CG,Stressed
82,82,82,82,l,77.00978425,56.9488489,1482.167883,1294.502579,2.482087167,14.75324474,S3,lasa1,CG,Unstressed
83,83,83,83,l,69.23620838,57.97298875,875.9739746,938.8702156,10.12115624,153.5561283,S3,lasa1,CG,Unstressed
123,123,123,123,l,78.54947512,56.71930444,1221.693023,1385.108016,2.309741094,13.84831492,S3,lisa1,CG,Unstressed
124,124,124,124,l,74.32151525,57.18197944,1664.191758,1412.41402,1.70440217,9.489341371,S3,lisa1,CG,Unstressed
163,163,163,163,l,64.64163418,57.42099853,1363.492159,1413.481998,2.6709591,12.4535331,S3,sala,CG,Stressed
164,164,164,164,l,80.20009559,55.04416465,1988.896153,1511.476771,1.172810454,2.961825447,S3,sala,CG,Stressed
202,202,202,202,l,76.03542784,51.62550278,1033.602945,1164.491256,3.680466422,29.53124938,S3,sali,CG,Stressed
203,203,203,203,l,80.13673273,53.44916701,1824.516081,1414.126957,0.97332223,2.059818954,S3,sali,CG,Stressed
243,243,243,243,l,122.7614231,59.58153407,781.5090481,654.6942754,4.849275436,44.3857846,S3,sala1,CG,Stressed
244,244,244,244,l,118.960276,55.10143193,1206.457867,918.7865897,3.179395712,20.39988628,S3,sala1,CG,Stressed
282,282,282,282,l,95.53770267,53.53589403,2794.651158,1238.344926,0.92078262,13.39857147,S3,sali1,CG,Stressed
283,283,283,283,l,128.8466855,51.17809961,1259.523792,1358.697201,2.696811477,17.77600292,S3,sali1,CG,Stressed
653,653,653,653,m,121.8974954,51.99987905,910.5067364,784.5537717,3.457358449,42.74817421,S3,masa,CG,Stressed
654,654,654,654,m,121.7365419,49.30123493,1028.280955,932.8035802,4.643849995,51.20639617,S3,masa,CG,Stressed
694,694,694,694,m,128.5313744,43.63520404,493.525817,525.682903,9.316399547,190.8373889,S3,misa,CG,Stressed
695,695,695,695,m,118.8742314,50.26669438,696.0299558,794.6812708,11.93902336,217.0198309,S3,misa,CG,Stressed
735,735,735,735,m,78.57976412,54.90743307,572.2323694,389.8671001,4.212576826,66.02453019,S3,masa1,CG,Unstressed
736,736,736,736,m,87.14145498,54.97952233,1394.534691,977.6235387,5.618151447,77.42388877,S3,masa1,CG,Unstressed
776,776,776,776,m,93.10838812,48.24883355,466.2589055,503.0882238,18.66892623,529.9430271,S3,misa1,CG,Unstressed
777,777,777,777,m,99.95370227,52.83817857,1594.953854,1158.244177,4.425556969,53.64384278,S3,misa1,CG,Unstressed
815,815,815,815,m,85.32680508,50.51329874,1930.029678,926.5764533,5.005921712,69.69433176,S3,sama,CG,Stressed
816,816,816,816,m,77.94783405,52.36452847,1317.936462,857.6506165,6.518002204,84.88597629,S3,sama,CG,Stressed
855,855,855,855,m,79.89480183,42.09981694,1532.267078,1439.382985,5.024892227,44.76410007,S3,sami,CG,Stressed
856,856,856,856,m,80.45930728,44.19396109,1148.924454,1010.640234,4.640798529,45.91336779,S3,sami,CG,Stressed
891,891,891,891,m,114.9487917,50.22638675,1127.943708,950.0499029,4.89399665,60.94651994,S3,sama1,CG,Stressed
892,892,892,892,m,97.88996617,45.29238282,1550.186762,643.7787822,9.673317458,192.59798,S3,sama1,CG,Stressed
930,930,930,930,m,105.947093,46.34465572,1728.016385,1435.078135,2.809704411,19.63813654,S3,sami1,CG,Stressed
931,931,931,931,m,111.3533426,46.33996434,1598.226179,1416.958826,3.709469967,32.24962439,S3,sami1,CG,Stressed
967,967,967,967,m,108.5122939,47.34242051,1401.85301,1510.593556,4.851417747,40.64130324,S3,sani1,CG,Stressed
1290,1290,1290,1290,n,95.78896468,48.27143227,553.3942118,642.9677008,9.813405026,199.5799923,S3,nasa,CG,Stressed
1291,1291,1291,1291,n,120.1463694,51.12899913,777.3681756,789.4546542,4.691974218,60.79227338,S3,nasa,CG,Stressed
1332,1332,1332,1332,n,85.67350303,46.40108728,1211.626492,1385.066952,5.14025728,50.08471877,S3,nisa,CG,Stressed
1333,1333,1333,1333,n,102.5242238,47.06497811,1375.473077,1033.443416,3.168818338,28.88865593,S3,nisa,CG,Stressed
1334,1334,1334,1334,n,134.3922961,51.10708212,846.424985,788.8928927,6.837878672,107.3342227,S3,nisa,CG,Stressed
1373,1373,1373,1373,n,65.2365321,51.47002907,497.4862335,777.2979627,14.13866502,273.5398461,S3,nasa1,CG,Unstressed
1374,1374,1374,1374,n,69.99822401,53.1109687,1666.601228,920.1600939,2.944630211,39.16625408,S3,nasa1,CG,Unstressed
1414,1414,1414,1414,n,66.31127651,49.80698598,877.8126236,1150.344341,6.750606221,83.1236206,S3,nisa1,CG,Unstressed
1415,1415,1415,1415,n,68.83680223,53.82040491,1261.212584,1200.521924,2.816713116,27.70174675,S3,nisa1,CG,Unstressed
1456,1456,1456,1456,n,74.23822682,51.34689428,2040.036697,940.0034677,5.042719019,70.17802934,S3,sana,CG,Stressed
1457,1457,1457,1457,n,85.04161345,48.38843888,1681.196953,929.3669145,5.438198259,66.81343294,S3,sana,CG,Stressed
1496,1496,1496,1496,n,79.51462469,40.95188342,1564.619486,1284.669839,3.425316504,26.76717818,S3,sani,CG,Stressed
1497,1497,1497,1497,n,79.04788691,43.37211312,2267.084772,1765.911042,1.127316663,4.362453768,S3,sani,CG,Stressed
1534,1534,1534,1534,n,22.99866673,50.59532936,2217.033946,2269.990126,4.381793084,26.34912175,S3,sara,CG,Stressed
1537,1537,1537,1537,n,111.7674697,53.62521486,1508.070147,907.6287235,1.84280805,19.22910186,S3,sana1,CG,Stressed
1538,1538,1538,1538,n,89.98271675,46.3784618,1400.122725,833.8602081,4.425766557,60.16152384,S3,sana1,CG,Stressed
1577,1577,1577,1577,n,106.8882977,45.40737464,1456.467051,1063.050668,4.03563547,45.61006203,S3,sani1,CG,Stressed
1915,1915,1915,1915,r,24.39274189,42.48970842,1246.11987,1037.505806,6.785391599,86.95765237,S3,rasa,CG,Stressed
1916,1916,1916,1916,r,53.13195538,42.29488563,841.4978121,1102.758507,5.891550615,53.00140146,S3,rasa,CG,Stressed
1954,1954,1954,1954,r,22.47155346,42.67487571,1096.090186,795.089386,5.890052301,76.90348479,S3,risa,CG,Stressed
1955,1955,1955,1955,r,28.2129119,45.43007617,1400.326593,1587.345065,6.956693815,56.09359333,S3,risa,CG,Stressed
1994,1994,1994,1994,r,13.67399571,43.36596007,1340.435146,1406.804737,6.184285397,59.40682401,S3,rasa1,CG,Unstressed
1995,1995,1995,1995,r,14.65727811,49.9604257,1387.983297,1894.276778,5.574896323,36.14108576,S3,rasa1,CG,Unstressed
2035,2035,2035,2035,r,21.58836446,56.8131919,884.7886156,902.3235231,7.111423951,93.80011358,S3,risa1,CG,Unstressed
2036,2036,2036,2036,r,15.77212392,40.29994971,1802.573912,2125.460723,4.318391798,26.16591679,S3,risa1,CG,Unstressed
2072,2072,2072,2072,r,14.19281059,48.07897184,840.3318213,610.9957425,13.70683563,279.1135598,S3,sara,CG,Stressed
2111,2111,2111,2111,r,22.8239429,44.51938007,1985.7826,1859.188585,3.998365116,28.4275,S3,sari,CG,Stressed
2112,2112,2112,2112,r,16.02440594,48.2043125,1450.238047,2143.84169,5.051562207,29.85404001,S3,sari,CG,Stressed
2151,2151,2151,2151,r,20.55632683,51.1851504,1295.650512,1637.903263,6.234199498,54.74306558,S3,sara1,CG,Stressed
2152,2152,2152,2152,r,13.5022862,40.91044888,1643.613576,1625.14441,6.50081656,59.78950165,S3,sara1,CG,Stressed
2189,2189,2189,2189,r,12.91590899,45.62353144,1047.395284,1231.217337,7.453532967,71.45799627,S3,sari1,CG,Stressed
2190,2190,2190,2190,r,11.88507856,40.62786301,1940.09046,1389.339246,4.61228007,40.73435662,S3,sari1,CG,Stressed
5,5,5,5,l,58.83638384,50.86174257,953.2429244,1015.228268,9.506985673,136.9395182,S4,lasa,CG,Stressed
6,6,6,6,l,71.23972962,40.03822542,782.1593644,775.9597412,21.1922433,502.1050712,S4,lasa,CG,Stressed
45,45,45,45,l,77.00686524,48.0873325,757.3710868,892.6627325,5.210196023,62.03894424,S4,lisa,CG,Stressed
46,46,46,46,l,73.88500336,51.18334897,592.8395402,770.3331497,14.5585573,275.6006844,S4,lisa,CG,Stressed
84,84,84,84,l,54.7633023,59.59300552,1096.248603,1073.81308,7.033800306,87.12925559,S4,lasa1,CG,Unstressed
85,85,85,85,l,58.86162467,41.36019193,848.629748,1084.549502,14.10731747,236.0657066,S4,lasa1,CG,Unstressed
125,125,125,125,l,57.26063464,53.14182236,671.6321092,556.2207853,7.624376829,147.3459568,S4,lisa1,CG,Unstressed
126,126,126,126,l,66.29252618,48.54999102,806.0676734,1021.610452,5.872199895,73.59901195,S4,lisa1,CG,Unstressed
165,165,165,165,l,58.26502671,48.37090421,1465.507162,803.6547946,12.2395541,238.1801376,S4,sala,CG,Stressed
166,166,166,166,l,45.89398737,53.38116798,1049.411891,911.0338441,6.595016042,101.0780581,S4,sala,CG,Stressed
204,204,204,204,l,35.42894742,39.96173933,1834.430947,929.3132523,13.10719258,238.6054496,S4,sali,CG,Stressed
205,205,205,205,l,42.76992816,51.16839764,1620.459804,1373.736467,1.603458244,13.58050167,S4,sali,CG,Stressed
245,245,245,245,l,75.45650519,42.98682857,593.7703188,817.6614729,12.62988372,211.4100568,S4,sala1,CG,Stressed
246,246,246,246,l,58.55672329,55.02844594,901.949319,718.0171933,9.702400656,168.5117561,S4,sala1,CG,Stressed
284,284,284,284,l,84.18998845,51.32063004,556.7113994,735.9236808,18.97713688,434.5983176,S4,sali1,CG,Stressed
285,285,285,285,l,95.10404712,49.57838116,925.1893577,1744.663335,6.063131194,42.2952364,S4,sali1,CG,Stressed
655,655,655,655,m,84.95772233,44.31659591,876.9495982,1485.541093,8.846620151,99.64375277,S4,masa,CG,Stressed
656,656,656,656,m,58.26425827,47.71922953,705.3568534,615.0411459,19.6187871,502.4857931,S4,masa,CG,Stressed
696,696,696,696,m,82.70885548,52.07777568,526.1028684,191.0573816,59.40718533,5293.354425,S4,misa,CG,Stressed
697,697,697,697,m,72.09707661,58.26135332,794.8192442,631.0303982,14.04959204,308.6465086,S4,misa,CG,Stressed
737,737,737,737,m,71.20727712,48.21499481,931.5905562,896.0292889,11.89991713,191.0968443,S4,masa1,CG,Unstressed
738,738,738,738,m,59.47245285,48.64455808,588.5249322,367.160159,26.72726544,1105.763937,S4,masa1,CG,Unstressed
778,778,778,778,m,66.77261714,54.21906154,620.5663871,591.0219051,20.50833752,546.4717278,S4,misa1,CG,Unstressed
779,779,779,779,m,62.82948376,54.10168848,716.4984268,760.1058338,14.57970119,292.2600041,S4,misa1,CG,Unstressed
817,817,817,817,m,63.40893861,50.84623792,794.4392872,893.9563509,11.77002364,202.6636518,S4,sama,CG,Stressed
818,818,818,818,m,73.90326967,50.56626227,917.3376316,1258.918812,8.806169098,105.1253969,S4,sama,CG,Stressed
857,857,857,857,m,55.6719694,43.78645605,860.094467,1438.413073,9.696600859,115.8738973,S4,sami,CG,Stressed
858,858,858,858,m,61.16819759,55.11513795,705.4116068,714.1865175,13.63030341,289.5809072,S4,sami,CG,Stressed
